6;bunker;565.00;15.62;1443.00;5.69;0
6;arms_factory;499.00;11.25;1420.00;6.03;0
6;arms_factory;607.00;14.15;1444.00;2.41;0
6;arms_factory;517.00;14.57;1530.00;0.25;0
6;arms_factory;640.00;16.70;1530.00;1.45;0
6;arms_factory;634.00;13.20;1467.00;4.47;0
6;arms_factory;594.00;15.05;1434.00;0.85;0
6;industrial_complex;676.00;16.65;1528.00;3.52;0
6;industrial_complex;531.00;14.45;1446.00;5.08;0
6;industrial_complex;702.00;15.78;1515.00;2.92;0
6;industrial_complex;613.00;10.55;1394.00;5.58;0
6;industrial_complex;598.00;13.55;1533.00;1.96;0
6;industrial_complex;494.00;9.82;1473.00;4.98;0
6;air_base;444.00;9.53;1504.00;6.19;0
6;naval_base;576.00;9.73;1341.00;1.57;13902
6;naval_base;497.00;9.50;1448.00;-0.14;13002
6;naval_base;555.00;9.80;1357.00;1.01;12336
6;naval_base;636.00;10.03;1433.00;-4.00;13421
6;naval_base;692.00;9.50;1480.00;-1.11;12372
6;naval_base;612.00;10.00;1376.00;1.11;11957
6;naval_base;508.00;9.50;1380.00;0.14;12694
6;naval_base;446.00;9.50;1492.00;-3.79;12993
6;naval_base;730.00;9.50;1486.00;-0.09;13424
6;naval_base;489.00;9.50;1524.00;-1.11;13787
6;naval_base;777.00;9.50;1528.00;0.93;13720
6;naval_base;810.00;9.50;1534.00;-1.57;13152
6;naval_base;492.00;9.50;1521.00;-3.22;13787
6;naval_base;568.00;9.50;1359.00;-1.57;12336
6;naval_base;575.00;9.50;1357.00;-0.93;12336
6;naval_base;457.00;9.50;1514.00;-1.57;12993
6;naval_base;689.00;9.75;1483.00;0.79;12372
6;naval_base;470.00;9.50;1471.00;-0.32;11721
6;naval_base;453.00;9.65;1530.00;-4.51;13787
6;naval_base;691.00;9.50;1469.00;-1.57;12372
6;naval_base;762.00;9.57;1517.00;0.79;11703
6;naval_base;608.00;9.50;1334.00;-0.36;13902
6;naval_base;487.00;9.50;1434.00;-1.43;13002
6;naval_base;495.00;9.50;1441.00;-1.57;13002
6;naval_base;655.00;10.23;1469.00;0.84;12372
6;naval_base;645.00;9.65;1436.00;-1.57;13421
6;naval_base;805.00;9.50;1533.00;1.25;13152
6;naval_base;597.00;9.50;1329.00;-1.57;13902
6;naval_base;704.00;9.55;1471.00;-1.57;13054
6;naval_base;452.00;9.50;1501.00;-1.57;12993
6;naval_base;487.00;9.55;1442.00;-1.57;13002
6;naval_base;481.00;9.50;1441.00;-1.57;13002
6;naval_base;485.00;9.50;1475.00;-1.44;11721
6;bunker;491.00;11.00;1480.00;5.72;0
6;bunker;739.00;13.85;1520.00;0.65;0
6;bunker;609.00;12.80;1411.00;4.77;0
6;bunker;605.00;11.90;1375.00;0.04;0
6;bunker;479.00;10.90;1465.00;4.17;0
6;bunker;532.00;14.25;1417.00;5.37;0
6;bunker;718.00;13.93;1505.00;3.21;0
6;bunker;657.00;14.28;1495.00;6.23;0
6;bunker;526.00;13.60;1433.00;1.16;0
6;bunker;532.00;12.93;1533.00;5.28;0
6;bunker;631.00;15.80;1508.00;0.55;0
6;bunker;606.00;10.18;1349.00;3.22;0
6;bunker;624.00;13.55;1447.00;5.88;0
6;bunker;624.00;12.53;1426.00;3.73;0
6;bunker;736.00;11.10;1495.00;3.83;0
6;bunker;600.00;15.70;1511.00;1.67;0
6;bunker;546.00;15.13;1454.00;4.33;0
6;bunker;682.00;15.60;1517.00;0.71;0
